datetime,user,department,location,location_id,client_ip,server_ip,url,url_category,threat_category,threat_name,action,risk_score,dlp_engine,dlp_dictionaries,file_type,app_name,app_class,cloud_app,activity,http_method,http_status,user_agent,request_size,response_size,total_size,upload_file_type,upload_file_name,download_file_type,download_file_name,md5_hash,sha256_hash,malware_category,malware_class,device_owner
2025-11-12 08:00:00,john.doe,Engineering,San Francisco,SF-HQ,192.168.1.100,93.184.216.34,https://google.com,Search Engines,None,None,Allowed,10,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,512,2048,2560,None,None,None,None,None,None,None,None,john.doe
2025-11-12 08:05:00,jane.smith,Finance,New York,NY-HQ,192.168.2.50,172.217.14.206,https://gmail.com,Webmail,None,None,Allowed,12,None,None,None,Web Browser,Internet Services,Yes,Browsing,GET,200,Mozilla/5.0,498,1856,2354,None,None,None,None,None,None,None,None,jane.smith
2025-11-12 08:10:00,bob.johnson,Sales,Chicago,CHI-OFFICE,192.168.3.75,13.107.42.14,https://outlook.office365.com,Webmail,None,None,Allowed,14,None,None,None,Web Browser,Internet Services,Yes,Browsing,GET,200,Mozilla/5.0,567,2234,2801,None,None,None,None,None,None,None,None,bob.johnson
2025-11-12 08:15:00,alice.williams,HR,San Francisco,SF-HQ,192.168.1.120,104.16.132.229,https://linkedin.com,Professional Networking,None,None,Allowed,11,None,None,None,Web Browser,Social Media,No,Browsing,GET,200,Mozilla/5.0,523,1987,2510,None,None,None,None,None,None,None,None,alice.williams
2025-11-12 08:20:00,charlie.brown,IT,San Francisco,SF-HQ,192.168.1.150,185.199.108.153,https://stackoverflow.com,Professional Services,None,None,Allowed,13,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,489,2156,2645,None,None,None,None,None,None,None,None,charlie.brown
2025-11-12 08:25:00,david.miller,Marketing,Boston,BOS-OFFICE,192.168.4.80,151.101.1.140,https://github.com,Professional Services,None,None,Allowed,15,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,612,3072,3684,None,None,None,None,None,None,None,None,david.miller
2025-11-12 08:30:00,emily.davis,Legal,New York,NY-HQ,192.168.2.90,172.217.14.206,https://drive.google.com,Cloud Storage,None,None,Allowed,18,None,None,None,Web Browser,Cloud Storage,Yes,Upload,POST,200,Mozilla/5.0,1024,512,1536,pdf,Contract_Draft.pdf,None,None,None,None,None,None,emily.davis
2025-11-12 08:35:00,frank.wilson,Operations,Chicago,CHI-OFFICE,192.168.3.100,13.107.42.14,https://teams.microsoft.com,Collaboration,None,None,Allowed,16,None,None,None,Web Browser,Collaboration,Yes,Browsing,GET,200,Mozilla/5.0,678,2456,3134,None,None,None,None,None,None,None,None,frank.wilson
2025-11-12 08:40:00,grace.taylor,Engineering,San Francisco,SF-HQ,192.168.1.110,185.199.108.153,https://stackoverflow.com,Professional Services,None,None,Allowed,13,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,489,2156,2645,None,None,None,None,None,None,None,None,grace.taylor
2025-11-12 08:45:00,henry.anderson,Finance,New York,NY-HQ,192.168.2.60,172.217.14.206,https://sheets.google.com,Cloud Storage,None,None,Allowed,17,None,None,None,Web Browser,Cloud Storage,Yes,Browsing,GET,200,Mozilla/5.0,534,2789,3323,None,None,None,None,None,None,None,None,henry.anderson
2025-11-12 08:50:00,isabel.thomas,Sales,Boston,BOS-OFFICE,192.168.4.90,13.107.42.14,https://salesforce.com,Business,None,None,Allowed,19,None,None,None,Web Browser,Business Apps,Yes,Browsing,GET,200,Mozilla/5.0,645,3012,3657,None,None,None,None,None,None,None,None,isabel.thomas
2025-11-12 08:55:00,jack.jackson,IT,Chicago,CHI-OFFICE,192.168.3.110,185.199.108.153,https://github.com,Professional Services,None,None,Allowed,15,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,612,3072,3684,None,None,None,None,None,None,None,None,jack.jackson
