datetime,user,department,location,location_id,client_ip,server_ip,url,url_category,threat_category,threat_name,action,risk_score,dlp_engine,dlp_dictionaries,file_type,app_name,app_class,cloud_app,activity,http_method,http_status,user_agent,request_size,response_size,total_size,upload_file_type,upload_file_name,download_file_type,download_file_name,md5_hash,sha256_hash,malware_category,malware_class,device_owner
2025-11-06 00:02:03,jane.smith,Finance,New York,NY-HQ,192.168.2.50,136.147.174.25,https://salesforce.com,Business,None,None,Allowed,17,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,747,3008,3755,None,None,None,None,None,None,None,None,jane.smith
2025-11-06 00:03:02,bob.johnson,Sales,Chicago,CHI-OFFICE,192.168.3.75,136.147.174.25,https://salesforce.com,Business,None,None,Allowed,17,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,640,2846,3486,None,None,None,None,None,None,None,None,bob.johnson
2025-11-06 00:11:16,alice.williams,HR,San Francisco,SF-HQ,192.168.1.120,170.114.52.2,https://zoom.us,Business,None,None,Allowed,14,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,1020,2060,3080,None,None,None,None,None,None,None,None,alice.williams
2025-11-06 00:28:06,grace.moore,Finance,Chicago,CHI-OFFICE,192.168.3.95,104.16.132.229,https://linkedin.com,Professional Networking,None,None,Allowed,11,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,798,1537,2335,None,None,None,None,None,None,None,None,grace.moore
2025-11-06 00:34:29,bob.johnson,Sales,Chicago,CHI-OFFICE,192.168.3.75,13.107.42.14,https://onedrive.live.com,Cloud Storage,None,None,Allowed,28,None,None,None,Web Browser,Internet Services,Yes,Upload,POST,200,Mozilla/5.0,22046411,1062,22047473,xlsx,Financial_Data.xlsx,None,None,None,None,None,None,bob.johnson
2025-11-06 00:41:05,alice.williams,HR,San Francisco,SF-HQ,192.168.1.120,93.184.216.34,https://google.com,Search Engines,None,None,Allowed,10,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,562,3359,3921,None,None,None,None,None,None,None,None,alice.williams
2025-11-06 00:53:12,henry.taylor,IT,Austin,AUS-OFFICE,192.168.4.120,172.217.14.206,https://drive.google.com,Cloud Storage,None,None,Allowed,25,None,None,None,Web Browser,Internet Services,Yes,Upload,POST,200,Mozilla/5.0,19414171,1870,19416041,pdf,Q4_Report.pdf,None,None,None,None,None,None,henry.taylor
2025-11-06 01:27:35,henry.taylor,IT,Austin,AUS-OFFICE,192.168.4.120,170.114.52.2,https://zoom.us,Business,None,None,Allowed,14,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,985,1581,2566,None,None,None,None,None,None,None,None,henry.taylor
2025-11-06 01:29:27,john.doe,Engineering,San Francisco,SF-HQ,192.168.1.100,13.107.42.14,https://outlook.office365.com,Webmail,None,None,Allowed,14,None,None,None,Web Browser,Internet Services,Yes,Browsing,GET,200,Mozilla/5.0,533,1964,2497,None,None,None,None,None,None,None,None,john.doe
2025-11-06 01:29:44,john.doe,Engineering,San Francisco,SF-HQ,192.168.1.100,104.16.132.229,https://linkedin.com,Professional Networking,None,None,Allowed,11,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,502,2708,3210,None,None,None,None,None,None,None,None,john.doe
2025-11-06 02:26:13,alice.williams,HR,San Francisco,SF-HQ,192.168.1.120,172.217.14.206,https://gmail.com,Webmail,None,None,Allowed,12,None,None,None,Web Browser,Internet Services,Yes,Browsing,GET,200,Mozilla/5.0,892,2254,3146,None,None,None,None,None,None,None,None,alice.williams
2025-11-06 02:31:02,emma.davis,Marketing,New York,NY-HQ,192.168.2.90,172.217.14.206,https://gmail.com,Webmail,None,None,Allowed,12,None,None,None,Web Browser,Internet Services,Yes,Browsing,GET,200,Mozilla/5.0,691,1825,2516,None,None,None,None,None,None,None,None,emma.davis
2025-11-06 02:50:38,henry.taylor,IT,Austin,AUS-OFFICE,192.168.4.120,136.147.174.25,https://salesforce.com,Business,None,None,Allowed,17,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,594,2008,2602,None,None,None,None,None,None,None,None,henry.taylor
2025-11-06 02:51:07,david.miller,Engineering,Austin,AUS-OFFICE,192.168.4.80,104.21.48.200,https://cryptominer-pool.xyz,Cryptomining,Cryptomining,Mining Pool,Blocked,92,None,None,None,Web Browser,Security Risk,No,Browsing,GET,403,Mozilla/5.0,458,0,458,None,None,None,None,None,None,Cryptominer,Malicious,david.miller
2025-11-06 02:55:10,john.doe,Engineering,San Francisco,SF-HQ,192.168.1.100,170.114.52.2,https://zoom.us,Business,None,None,Allowed,14,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,1135,3073,4208,None,None,None,None,None,None,None,None,john.doe
2025-11-06 03:02:10,alice.williams,HR,San Francisco,SF-HQ,192.168.1.120,104.18.24.200,https://anonymous-vpn.com,VPN,None,None,Allowed,68,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,800,1577,2377,None,None,None,None,None,None,None,None,alice.williams
2025-11-06 03:12:12,david.miller,Engineering,Austin,AUS-OFFICE,192.168.4.80,107.152.27.200,https://box.com,Cloud Storage,None,None,Allowed,27,None,None,None,Web Browser,Internet Services,Yes,Upload,POST,200,Mozilla/5.0,5098534,943,5099477,docx,Contract.docx,None,None,None,None,None,None,david.miller
2025-11-06 03:25:28,john.doe,Engineering,San Francisco,SF-HQ,192.168.1.100,167.172.44.200,https://data-exfil-server.com,Data Exfiltration,Data Leak,Exfiltration Attempt,Blocked,97,None,None,None,Web Browser,Security Risk,No,Browsing,POST,403,Mozilla/5.0,582,0,582,None,None,None,None,None,None,Data Theft,Malicious,john.doe
2025-11-06 03:27:52,emma.davis,Marketing,New York,NY-HQ,192.168.2.90,172.217.14.206,https://gmail.com,Webmail,None,None,Allowed,12,None,None,None,Web Browser,Internet Services,Yes,Browsing,GET,200,Mozilla/5.0,411,3267,3678,None,None,None,None,None,None,None,None,emma.davis
2025-11-06 03:40:52,john.doe,Engineering,San Francisco,SF-HQ,192.168.1.100,13.107.42.14,https://outlook.office365.com,Webmail,None,None,Allowed,14,None,None,None,Web Browser,Internet Services,Yes,Browsing,GET,200,Mozilla/5.0,727,3719,4446,None,None,None,None,None,None,None,None,john.doe
2025-11-06 03:43:57,frank.wilson,Sales,Los Angeles,LA-OFFICE,192.168.5.110,104.18.24.200,https://anonymous-vpn.com,VPN,None,None,Allowed,68,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,703,2867,3570,None,None,None,None,None,None,None,None,frank.wilson
2025-11-06 03:44:49,david.miller,Engineering,Austin,AUS-OFFICE,192.168.4.80,104.16.132.229,https://linkedin.com,Professional Networking,None,None,Allowed,11,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,459,3945,4404,None,None,None,None,None,None,None,None,david.miller
2025-11-06 03:46:41,grace.moore,Finance,Chicago,CHI-OFFICE,192.168.3.95,172.67.154.100,https://proxy-bypass.net,Proxy Avoidance,None,None,Allowed,70,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,752,3335,4087,None,None,None,None,None,None,None,None,grace.moore
2025-11-06 03:59:47,alice.williams,HR,San Francisco,SF-HQ,192.168.1.120,151.101.1.140,https://github.com,Professional Services,None,None,Allowed,15,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,832,1802,2634,None,None,None,None,None,None,None,None,alice.williams
2025-11-06 04:04:41,charlie.brown,IT,San Francisco,SF-HQ,192.168.1.150,185.199.108.153,https://stackoverflow.com,Professional Services,None,None,Allowed,13,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,1047,3125,4172,None,None,None,None,None,None,None,None,charlie.brown
2025-11-06 04:37:22,jane.smith,Finance,New York,NY-HQ,192.168.2.50,104.16.132.229,https://linkedin.com,Professional Networking,None,None,Allowed,11,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,985,2044,3029,None,None,None,None,None,None,None,None,jane.smith
2025-11-06 04:46:18,bob.johnson,Sales,Chicago,CHI-OFFICE,192.168.3.75,185.199.108.153,https://stackoverflow.com,Professional Services,None,None,Allowed,13,None,None,None,Web Browser,Internet Services,No,Browsing,GET,200,Mozilla/5.0,785,2064,2849,None,None,None,None,None,None,None,None,bob.johnson
